engineer,merged_prs,weighted_pr_output,avg_cycle_time_hours,median_cycle_time_hours,complex_pr_count,bug_fix_prs,hotfix_prs,refactor_prs,infra_prs,core_area_touch_count,reviews_given,distinct_prs_reviewed,unblocks,review_response_time_hours,distinct_engineers_helped,weighted_pr_output_norm,merged_prs_norm,avg_cycle_time_hours_inv_norm,unblocks_norm,reviews_given_norm,distinct_engineers_helped_norm,bug_fix_prs_norm,hotfix_prs_norm,core_area_touch_count_norm,refactor_prs_norm,product_score,team_score,technical_score,impact_score,impact_rank,summary
ablaszkiewicz,4.0,4.2777810868227215,4.834583333333334,2.29625,0.0,4.0,0.0,0.0,0.0,1.0,24.0,22.0,6.0,15.576493055555554,5.0,0.2775663686912085,0.3007518796992485,0.900501124575399,0.23856858846918497,0.6557377049180334,0.5555555555555556,0.49079754601227044,0.0,0.09090909090909091,0.0,0.4091089731704586,0.4429660651754322,0.21450083658672636,0.360883659796831,37,"Shipped 4 merged PRs (avg cycle time 5h). Reviewed 24 PRs, across 5 contributors, unblocking 6 merges. Technical: 4 bug fixes, 1 core-area touch. Strongest signal: reviewing & unblocking others."
jose-sequeira,7.0,7.458656461572061,5.187341269841269,0.9302777777777778,0.0,4.0,0.0,0.0,1.0,3.0,8.0,5.0,4.0,1.9438194444444443,1.0,0.48395935821284597,0.5263157894736848,0.8932411363696641,0.15904572564612332,0.2185792349726778,0.1111111111111111,0.49079754601227044,0.0,0.2727272727272727,0.0,0.5785226432224613,0.16492212481033663,0.25086447295036274,0.3561450366171943,38,"Shipped 7 merged PRs (avg cycle time 5h). Reviewed 8 PRs, across 1 contributor, unblocking 4 merges. Technical: 4 bug fixes, 3 core-area touches. Strongest signal: shipping code."
frankh,8.0,8.80949034089781,24.296493055555555,4.109861111111111,0.0,3.0,0.0,1.0,5.0,4.0,2.0,2.0,1.0,0.19,1.0,0.5716090174589654,0.601503759398497,0.49996234026591624,0.03976143141153083,0.05464480874316945,0.1111111111111111,0.3680981595092028,0.0,0.36363636363636365,1.0,0.5662481046022151,0.06206386453591749,0.3699665365309539,0.35610836216094743,39,"Shipped 8 merged PRs (avg cycle time 24h). Reviewed 2 PRs, across 1 contributor, unblocking 1 merge. Technical: 3 bug fixes, 4 core-area touches. Strongest signal: shipping code."
Twixes,5.0,5.945917962157762,36.85161111111111,20.8275,1.0,1.0,0.0,1.0,1.0,2.0,17.0,12.0,9.0,35.97724074074074,5.0,0.3858044214501328,0.37593984962406063,0.2415698292220383,0.35785288270377746,0.46448087431694035,0.5555555555555556,0.12269938650306761,0.0,0.18181818181818182,1.0,0.35399813145669223,0.4392669484006709,0.2354433909648634,0.3440123543923372,40,"Shipped 5 merged PRs (avg cycle time 37h). including 1 complex cross-directory change. Reviewed 17 PRs, across 5 contributors, unblocking 9 merges. Technical: 1 bug fix, 2 core-area touches. Strongest signal: reviewing & unblocking others."
rodrigoi,5.0,6.083606329541167,26.23127777777778,10.421388888888888,1.0,4.0,0.0,1.0,0.0,5.0,6.0,4.0,5.0,8.42837962962963,1.0,0.39473841301490886,0.37593984962406063,0.460143209892776,0.19880715705765414,0.16393442622950835,0.1111111111111111,0.49079754601227044,0.0,0.45454545454545453,1.0,0.4021798033732278,0.16642132632257467,0.43722810931399914,0.3419667520402633,41,"Shipped 5 merged PRs (avg cycle time 26h). including 1 complex cross-directory change. Reviewed 6 PRs, across 1 contributor, unblocking 5 merges. Technical: 4 bug fixes, 5 core-area touches. Strongest signal: technical health (bugs, infra, refactors)."
oliverb123,5.0,5.759149840173129,7.747611111111112,0.5083333333333333,0.0,2.0,0.0,0.0,0.0,3.0,9.0,5.0,9.0,1.118858024691358,4.0,0.37368586083321836,0.37593984962406063,0.8405491146532381,0.35785288270377746,0.2459016393442625,0.4444444444444444,0.24539877300613522,0.0,0.2727272727272727,0.0,0.467734708234475,0.34591540013108973,0.15270496374790862,0.33667999245748953,42,"Shipped 5 merged PRs (avg cycle time 8h). Reviewed 9 PRs, across 4 contributors, unblocking 9 merges. Technical: 2 bug fixes, 3 core-area touches. Strongest signal: shipping code."
gustavohstrassburger,5.0,5.352478805567137,22.16422222222222,26.394166666666667,0.0,2.0,0.0,0.0,0.0,5.0,16.0,15.0,12.0,18.349742063492062,2.0,0.34729876901236945,0.37593984962406063,0.5438458634962553,0.47713717693836993,0.4371584699453556,0.2222222222222222,0.24539877300613522,0.0,0.45454545454545453,0.0,0.395200512092654,0.40141482616142876,0.189068600111545,0.3352252327189537,43,"Shipped 5 merged PRs (avg cycle time 22h). Reviewed 16 PRs, across 2 contributors, unblocking 12 merges. Technical: 2 bug fixes, 5 core-area touches. Strongest signal: reviewing & unblocking others."
rossgray,4.0,4.307757063156432,22.609513888888888,11.363055555555556,0.0,2.0,0.0,0.0,0.0,2.0,20.0,10.0,16.0,16.046694444444444,2.0,0.2795113777344602,0.3007518796992485,0.5346814708248538,0.6361829025844933,0.5464480874316945,0.2222222222222222,0.24539877300613522,0.0,0.18181818181818182,0.0,0.3369175469419754,0.5057722879480859,0.13452314556609046,0.32685564883104307,44,"Shipped 4 merged PRs (avg cycle time 23h). Reviewed 20 PRs, across 2 contributors, unblocking 16 merges. Technical: 2 bug fixes, 2 core-area touches. Strongest signal: reviewing & unblocking others."
carlos-marchal-ph,4.0,4.330085174816844,4.493888888888888,0.6180555555555556,0.0,1.0,0.0,1.0,0.0,3.0,8.0,7.0,4.0,1.5647222222222221,5.0,0.2809601505322089,0.3007518796992485,0.9075128382533716,0.15904572564612332,0.2185792349726778,0.5555555555555556,0.12269938650306761,0.0,0.2727272727272727,1.0,0.41220820682655335,0.27603323592144774,0.2536252091466816,0.32378081625106014,45,"Shipped 4 merged PRs (avg cycle time 4h). Reviewed 8 PRs, across 5 contributors, unblocking 4 merges. Technical: 1 bug fix, 3 core-area touches. Strongest signal: shipping code."
VojtechBartos,5.0,6.438050707804713,20.307833333333335,1.4983333333333333,0.0,2.0,0.0,0.0,0.0,2.0,10.0,10.0,9.0,4.4367222222222225,4.0,0.4177367471935046,0.37593984962406063,0.5820515565332633,0.35785288270377746,0.27322404371584724,0.4444444444444444,0.24539877300613522,0.0,0.18181818181818182,0.0,0.43806063979062315,0.35411212144256515,0.13452314556609046,0.3218148360188459,46,"Shipped 5 merged PRs (avg cycle time 20h). Reviewed 10 PRs, across 4 contributors, unblocking 9 merges. Technical: 2 bug fixes, 2 core-area touches. Strongest signal: shipping code."
